Item ID,Image(s),Category,Observation Type,Detail,Action Needed
TOP-08,"Img 48, Img 55, Img 63",Shirt,Fit data upgraded from flat-lay to worn-photo ground truth,"TOP-08 previously had Fit Source 'Flat lay only'. Three new worn photos (Img 48 front, Img 55 front, Img 63 full-length with BOT-05) added in this batch. Fit/Silhouette/Drape Notes/Fit Source updated to reflect worn-photo ground truth: relaxed fit on athletic frame, drapes cleanly without bunching.",No action — fields updated
GENERAL,"Img 36, Img 37",Shirt,Ambiguity: TOP-11 vs TOP-27,"Img 36 and Img 37 show a cream/white long-sleeve button-up with single chest pocket worn with BOT-11 (olive trousers). Mapped to TOP-11 (white button-down collar) based on chest pocket placement and overall silhouette, but if TOP-11 and TOP-27 turn out to be the same garment (see related obs above) these may need re-mapping. Close-up of the collar in either image is unclear.",User to verify which white long-sleeve was worn in these photos when reviewing TOP-11/TOP-27 duplication question
SHOE-06,Img 123,Shoes,Brand identification,"Possible 'DC' (DC Shoes) stamp visible on heel cap in Img 123, but the photo is partial/angled and the letters are not clearly resolved. Catalog brand entered as Unidentified.",User to inspect inside tongue label / heel stamp on the physical pair and confirm brand
BOT-14,"Img 125, Img 128",Trousers,Skin tone caution,"Warm beige / cream chinos sit close to user's warm Indian skin tone — risk of low-contrast outfits when paired with cream/sand/tan tops. Best paired with high-contrast tops (black, charcoal, navy, deep olive).",No action — flag is for downstream pairing decisions
TOP-28,"Img 127, Img 129",T-Shirt,Condition vs design — speckling,"Tee shows visible white speckling across the body. Could be intentional acid-wash / distressed design, or actual wear/fade. Visually consistent across both photos — leaning toward intentional design but worth physical confirmation.",User to confirm whether speckling is a design feature or wear; update Condition field accordingly
TOP-28,"Img 127, Img 129",T-Shirt,Brand identification,"Band merch (TOOL) — could be official band merchandise (e.g., from a tour) or a third-party reprint. Quality matters for longevity.",User to check inner tag for brand/origin
TOP-29,"Img 131, Img 132",T-Shirt,Brand identification,"Band merch (A Perfect Circle, 'aPerfectCircle' arched text visible). Could be official band merchandise or third-party. Same flag pattern as TOP-28.",User to check inner tag for brand/origin
TOP-30,Img 133,T-Shirt,Brand identification,"Band merch (Megadeth, Vic Rattlehead skull figure visible). Could be official band merchandise or third-party reprint.",User to check inner tag for brand/origin
TOP-31,"Img 134, Img 136",T-Shirt,Brand identification,"Band merch (Gojira, distinctive spiral whale graphic visible). Could be official band merchandise or third-party reprint.",User to check inner tag for brand/origin
TOP-32,"Img 135, Img 140",T-Shirt,Color resolution,Color reads as muted dusty purple/lavender with mineral acid-wash. Cataloged as 'Muted dusty purple/lavender'. May reproduce slightly different under daylight — worth a second look.,User to confirm color in natural light
TOP-33,Img 137,Jacket,Condition vs design,"Hem reads as deliberately frayed/raw — design feature, not damage. Catalogued as 'Distressed (intentional)'. Worth confirming this is by design, not actual wear that needs repair.",User to confirm hem is intentional design
TOP-34,"Img 138, Img 139",T-Shirt,Brand identification,CARGO BAY wordmark visible as part of postal-stamp graphic — could be the actual brand of the tee (catalogued as brand) OR could just be the graphic content. Verify whether the inner tag also reads CARGO BAY.,User to check inner tag and confirm brand attribution
TOP-35,Img 141,Jacket,Brand identification,"Hand-applied appliqué work + sherpa patch suggests small-batch designer or artisan piece, possibly from Goa or a local Bangalore designer. No visible brand mark in worn photo. This is a STAR piece in the wardrobe.",User to confirm origin/brand; consider photographing inner label for archive
TOP-35,Img 141,Jacket,Pairing constraint,"Statement appliqué jacket — should always be the focal point. Avoid pairing with other statement items (band tees, loud plaid bottoms, bold prints). Best paired with neutral solid base layers (black/charcoal/white tee, dark trousers).",No action — flag is for downstream pairing decisions
TOP-36,Img 142,Shirt/Shacket,Pairing constraint,"Loud multicolor plaid — works best as the focal layer over a solid base. Avoid stacking with other patterns (no plaid + acid-wash, no plaid + graphic tee underneath).",No action — flag is for downstream pairing decisions
TOP-37,"Img 145, Img 147, Img 148, Img 151, Img 152",Shirt/Jacket,Skin tone caution + transparency,"Cream/ivory open-knit crochet shirt-jacket is doubly risky against warm Indian skin: (1) color sits close to skin tone, and (2) the open weave is partially sheer. Always pair with a dark base layer (black, charcoal, deep navy) — worn-open over a dark tee is the safest mode.",No action — flag is for downstream pairing decisions
TOP-37,"Img 145, Img 147, Img 148, Img 151, Img 152",Shirt/Jacket,Care / fabric,Open-knit crochet/lace garments are fragile — snag-prone and not machine-washable in normal cycles. Worth confirming care label for handwash or delicate-cycle requirement.,User to check inner care label
TOP-38,Img 149,Shirt,Versatility flag,"Black long-sleeve button-up is one of the highest-utility pieces in the wardrobe — works office to upscale date night, layered or solo. Versatility score 5/5 reflects this. Honest comparison: more versatile than TOP-11 (white) because black hides minor stains and pairs with cream/sand bottoms that white competes with.",No action — flag is for downstream pairing decisions
TOP-39,Img 150,T-Shirt,Daily-rotation status,"Basic black crew tee — cataloged as Daily rotation given how commonly used as a base layer. If actual wear is lower (e.g. owned but rarely worn), update Wear Frequency Estimate.",User to confirm wear frequency
TOP-40,Img 154-157,Shirt,Layering versatility,"Black mandarin-collar shirt works two distinct ways: buttoned-up as a refined alternative to a standard dress shirt (Img 154-155), or worn open as a soft over-layer above a black tee (Img 156-157). Versatility score 4/5 reflects this dual mode.",No action — flag is for downstream pairing decisions
TOP-41,"Img 158, Img 162",Shirt,POSSIBLE DUPLICATE of TOP-11,TOP-41 (this item) and TOP-11 are both white long-sleeve button-up shirts. Key differences observed: TOP-41 reads as point-collar with no visible chest pocket and slimmer drape; TOP-11 is catalogued with button-down collar AND single chest pocket and relaxed-oversized drape. Treating as separate items but flagging for user verification — they may be two distinct shirts (formal vs casual white) or duplicate cataloging.,User to verify whether wardrobe has two distinct white long-sleeve shirts (TOP-41 dress shirt + TOP-11 casual) or one
TOP-42,"Img 159, Img 161",Jacket,Formality cap,Oversized double-breasted blazer is the wardrobe's most formal piece. Pair with crisp white shirt (TOP-41) + dark trousers (BOT-10 black or BOT-04 navy) for upscale settings. Avoid layering over band tees or graphic items — defeats the structured tailoring.,No action — flag is for downstream pairing decisions
TOP-43,Img 160,Shirt,Pairing constraint,"Bold Greek-key all-over print — must pair with solid neutral bottoms (black, charcoal, dark navy). Avoid stacking with other patterns or graphic tees underneath.",No action — flag is for downstream pairing decisions
TOP-44,"Img 163, Img 164",T-Shirt,Brand identification,"Charcoal graphic tee with small red hand-print + text front graphic and large anime/illustration back graphic. Text on chest is partially readable but not resolvable to a specific brand/artist from the worn photos. Could be band merch, anime merch, or art collaboration.",User to check inner tag for brand/origin
TOP-45,Img 165,T-Shirt,Brand identification,Teal tiger graphic tee with 'Unknown Artist / 2022' style attribution visible at the bottom of the print. Likely a small-batch artist-collaboration piece. Title text at top reads (mirror-reversed) — possibly 'TALK A TIGER' or 'TALK [TO] TIGER'.,User to check inner tag for brand and confirm the title text
TOP-45,Img 165,T-Shirt,Color flag — jewel tone,"Teal is one of the most flattering jewel tones for warm Indian skin. Versatility is moderate (3/5) — pairs cleanly with charcoal, black, sand-beige, or cream bottoms; avoid pairing with olive (BOT-11) or muddy navy that competes with the teal.",No action — flag is for downstream pairing decisions
