Item ID,Item Image Name,Image References,Category,Sub-Category,Brand,Color (Primary),Color (Secondary),Pattern,Fit,Rise,Length,Silhouette,Neckline,Drape Notes,Fit Source,Fabric,Weight,Stretch,Breathability,Surface Texture,Formality (1-5),Vibe Tags,Occasion Tags,Layering Position,Season,Max Comfortable Temp (C),Condition,Wear Frequency Estimate,Color Temperature,Skin Tone Interaction,Skin Tone Caution Flag,Contrast Level,Versatility Score (1-5),Role in Outfit,Volume/Visual Weight,Shoe Type,Sole Profile,Aesthetic Range,Top Compatibility Note
TOP-16,WhatsApp Image 2026-05-18 at 12.13.19 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.22 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.22 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.15 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.16 AM.jpeg,"Img 48 (worn) | Img 64 (worn full-length) | Img 65 (worn waist-up detail) | Img 77 (worn full-length, alt bottom) | Img 78 (worn full-length, alt bottom angle)",Shirt,Long-sleeve button-up shirt,Unidentified,Light blue / chambray blue,—,Solid (subtle woven texture),Relaxed (worn reading),,Long-sleeve,Relaxed,Button-down collar with chest pocket,Relaxed fit; sits well on athletic frame. Light blue is flattering against warm skin.,Worn photo (Img 48),Linen or linen-cotton blend (visible slubby weave),Light,No,High (linen),Textured / slubby,3,"coastal, clean, minimal, designer-dev, preppy","office, office (casual), date night (casual), restaurant, brunch, beach/Goa, travel day",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Cool,Good - light blue provides contrast with warm skin without disappearing,No,Medium,4,Supporting,Low-medium,,,,
TOP-17,WhatsApp Image 2026-05-18 at 12.13.20 AM.jpeg,Img 49 (worn),Shirt,Long-sleeve button-up shirt with subtle pattern,Unidentified,Cream / off-white,Dark grey / navy (pattern),Small-scale dot or dash print,Relaxed (worn reading),,Long-sleeve (rolled at cuff),Relaxed,Button-down collar with chest pocket,Relaxed fit; sits well on athletic frame. Subtle pattern provides visual interest without heaviness.,Worn photo (Img 49),Lightweight cotton or cotton-linen blend,Light-mid,No,High,Smooth / textured weave,3,"minimal, clean, designer-dev, coastal, artisan","office, office (casual), date night (casual), restaurant, brunch",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Warm (cream) with cool pattern,Good - cream base with dark pattern provides layered interest,No,Medium,4,Star (subtle pattern carries outfit identity),Low-medium,,,,
SHO-01,WhatsApp Image 2026-05-18 at 12.17.06 AM.jpeg | WhatsApp Image 2026-05-18 at 12.17.08 AM.jpeg,Img 50 (flat top-down) | Img 51 (flat side),Shoes,Canvas high-top sneakers,Possibly Converse or similar (visible branding but not legible in photo),Cream / off-white,—,Solid,,,,High-top,,"Canvas construction; clean, minimal aesthetic. Good for casual hangouts and street looks.","Flat lay (Img {img_num}, {img_num+1})",Canvas cotton,Light,No,Medium-high,Smooth / woven canvas,1-2,"street, casual, minimal, cosmopolitan","casual hangout, boys night, concert, travel day, beach/Goa",,All-season,35,Worn (creasing visible; appears to be frequently used),Regular,Cool,Good - cream contrasts subtly with skin; clean white pops,No,Medium,4,Star (versatile baseline shoe),Low,High-top canvas sneaker,Flexible rubber,"Casual, street, minimal, cosmopolitan",Works with most casual outfits
SHO-02,WhatsApp Image 2026-05-18 at 12.17.09 AM.jpeg | WhatsApp Image 2026-05-18 at 12.17.08 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.17.09 AM (1).jpeg,Img 52 (flat back view) | Img 119 (flat top-down) | Img 120 (flat top-down alt),Shoes,Color-block low-top sneakers,Comet (visible on heel),Brown / tan,"White / cream (color-block panels), Olive / khaki (mudguard + collar lining)",Solid with color-blocking,,,,Low-top,,Suede/nubuck and canvas color-block; relaxed athletic aesthetic. Fits well with casual and street looks.,Flat lay (Img {img_num}),Suede/nubuck + canvas (color-blocked),Light-mid,No,Medium,Suede + canvas weave,2,"street, casual, designer-dev, rugged","casual hangout, boys night, concert, brunch",,"All-season, warmer months",32,Worn (creasing on suede; appears well-used),Regular,Warm (tan) + cool (white),Good - tan and white contrast provides visual interest without clashing with warm skin,No,Medium-high,3,Star (color-blocking carries outfit identity),Low-medium,Low-top canvas/suede sneaker,Flexible rubber,"Casual, street, warm-weather",Pairs well with casual shorts and tees
SHO-03,WhatsApp Image 2026-05-18 at 12.17.07 AM.jpeg,Img 53 (flat held in hand),Shoes,Slippers / house shoes,Unidentified (partial branding visible but not legible),Cream / warm beige,—,Solid,,,,Slip-on / open-back,,"Soft, comfortable slippers. Worn around the house or for quick outdoor trips. Not suitable for formal outings or detailed styling.",Flat lay (Img {img_num}),Likely cotton or canvas blend with soft lining,Light,,High,Soft / cushioned,0,"casual, minimal","home, casual hangout",,All-season,Any,Good (appears well-used but comfortable),Frequent (home wear),Warm,Cream blends subtly with warm skin; not a styling focus piece,No,Low,1,Not a wardrobe star (home wear only),Low,Slip-on slipper,Soft sole,"Casual, comfort, home",Not for outfits; home wear only
TOP-18,WhatsApp Image 2026-05-18 at 12.13.18 AM (1).jpeg,Img 55 (worn),Shirt,Short-sleeve button-up shirt,Unidentified,Light grey-blue / chambray,—,Solid,Relaxed,,Short-sleeve,Relaxed / slightly boxy,Button-down collar with chest pocket,Relaxed fit; sits well on athletic frame with slight looseness through torso.,Worn photo (Img 55),Linen or linen-cotton blend,Light,No,High,Textured / slubby (linen weave),3,"coastal, clean, minimal, designer-dev, preppy","office, office (casual), date night (casual), restaurant, brunch, beach/Goa, travel day",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Cool,Good - light grey-blue is a flattering cool tone against warm Indian skin,No,Medium,4,Supporting,Low-medium,,,,
TOP-19,WhatsApp Image 2026-05-18 at 12.13.22 AM (1).jpeg,Img 63 (worn),Shirt,Short-sleeve button-up shirt,Unidentified,Light grey / pale blue-grey,—,Solid,Relaxed,,Short-sleeve,Relaxed,Button-down collar,Relaxed fit; sits comfortably on athletic frame with gentle flow.,Worn photo (Img 63),Lightweight cotton or cotton-linen blend,Light,No,High,Smooth weave,2-3,"minimal, clean, casual, designer-dev","casual hangout, brunch, beach/Goa, date night (casual)",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Cool,Good - pale blue-grey contrasts with warm skin without disappearing,No,Medium,4,Supporting,Low,,,,
BOT-14,WhatsApp Image 2026-05-18 at 12.13.23 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.23 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.22 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.22 AM.jpeg,Img 66 (worn front) | Img 67 (worn waist-close-up) | Img 64 (worn full-length) | Img 65 (worn waist-up + shorts distressing detail),Shorts,Distressed denim shorts,Unidentified,Charcoal / faded black,—,Solid with intentional distressing,Regular,Mid,At-knee / just-above-knee,Straight,,Sits at mid-rise; hangs cleanly through thigh. Distressing at front thighs prominent.,Worn photo (Img 66-67),Cotton denim,Mid-heavy,No,Low-medium,Denim weave with distressing,1-2,"street, grunge, metalhead, rugged, casual","casual hangout, boys night, concert, beach/Goa, party (casual)",,"Summer, monsoon",38,Distressed - by design,Occasional to regular,Neutral,"Good - charcoal neutral, contrasts with warm skin",No,High,2,Star,High,,,,
TOP-20,WhatsApp Image 2026-05-18 at 12.14.54 AM.jpeg | WhatsApp Image 2026-05-18 at 12.14.56 AM.jpeg | WhatsApp Image 2026-05-18 at 12.14.58 AM.jpeg | WhatsApp Image 2026-05-18 at 12.14.59 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.01 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.11 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.12 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.13 AM.jpeg,Img 68 (worn) | Img 69 (worn) | Img 70 (worn full-length) | Img 71 (worn side) | Img 72 (worn pants detail) | Img 73 (worn chest detail) | Img 74 (worn full-length) | Img 75 (worn front/angled),Shirt,Short-sleeve button-up shirt,Unidentified,Olive green / sage green,—,Solid,Relaxed,,Short-sleeve,Relaxed,Mandarin collar / band collar,Relaxed fit; sits comfortably on athletic frame with gentle drape through torso. Mandarin collar sits naturally without pulling.,Worn photo (Img 68-73),Lightweight cotton or cotton-linen blend,Light-mid,No,High,Smooth weave,2-3,"earthy, safari, coastal, artisan, minimal, designer-dev","casual hangout, office (casual), brunch, beach/Goa, restaurant (casual), date night (casual)",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Warm,Excellent - olive harmonizes beautifully with warm Indian skin tone,No,Medium,4,Both,Medium,,,,
TOP-21,WhatsApp Image 2026-05-18 at 12.15.17 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.15 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.16 AM.jpeg,"Img 79 (worn torso-only) | Img 81 (worn full-length) | Img 82 (transition/held; tee held in basket, not worn)",T-Shirt,Crew-neck oversized T-shirt,Unidentified,Honey gold / warm amber,—,Solid,Relaxed / oversized,,Short-sleeve,Boxy,Crew neck,Fabric falls relaxed with no shoulder pull; slight boxy drape sits well on athletic frame without looking shapeless,"Worn photo (Img 81 torso, Img 83 full-length) — ground truth","Cotton jersey (appears mid-weight, smooth)",Mid,Slight,High,Smooth,2,"street, casual, earthy, bold","casual hangout, boys night, travel day, concert, beach/Goa",Base,"Summer, All-season",38,Good,Regular,Warm,Warm amber/honey gold aligns with warm Indian undertone — provides a vibrant sunny effect without disappearing; not a risk color (distinct from pastel yellow),No,Medium,3,Star,Medium,,,,
BOT-15,WhatsApp Image 2026-05-18 at 12.15.19 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.15 AM.jpeg,Img 80 (worn waist-down close-up) | Img 81 (worn full-length),Shorts,Chino shorts with rolled/cuffed hem,DAMENSCH (inner waistband label confirmed in Img 82),Dark charcoal / slate grey,—,Solid,Regular,Mid,Above-knee (cuffed hem),Straight,,Structured fabric sits flat; cuffed/rolled hem holds position; minimal movement,"Worn photo (Img 82 waist close-up, Img 83 full-length) — ground truth",Cotton twill / chino,Mid,No,Medium,Smooth,2,"clean, minimal, coastal, street","casual hangout, travel day, beach/Goa, boys night, brunch",,"Summer, All-season",36,Good,Regular,Neutral,Dark charcoal near-neutral; clean high contrast against light brown skin without visual tension,No,High,4,Supporting,Low,,,,
TOP-22,WhatsApp Image 2026-05-18 at 12.16.21 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.26 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.26 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.27 AM (1).jpeg,"Img 89 (worn front), Img 91 (flat lay, brand label visible) | Img 93 (worn full-length with BOT-10) | Img 94 (worn close-up)",Shirt,Short-sleeve open V-neck band-collar linen shirt (boxy/cropped cut),Zara,Cream / off-white,—,Solid,Relaxed / boxy,,Short-sleeve,Boxy,V-neck open placket (band neck / no traditional collar),Worn photo shows boxy drape across shoulders and torso; light linen fabric drapes softly with natural wrinkling; hem sits at/just above the natural waist (slightly cropped silhouette),Worn photo (Img 89) — ground truth,Linen,Light,No,High,Slubby (linen weave),2,"coastal, minimal, designer-dev, Goa/hippie, artisan, editorial","beach/Goa, brunch, casual hangout, restaurant (casual), date night (casual)",Base / open as outer,"Summer, monsoon, all-season warm",38,Good (natural linen wrinkling),Occasional,Warm,CAUTION - cream/off-white sits close to warm light brown skin tone; risks washing out in soft/warm lighting. Boxy/cropped silhouette also draws attention to the waistline.,YES,Low,3,Both,Low-medium,,,,
TOP-23,WhatsApp Image 2026-05-18 at 12.16.26 AM (2).jpeg,Img 92 (worn close-up),Shirt,Solid mandarin-collar long-sleeve button-up shirt,Unidentified,Bright white,—,Solid,Relaxed (worn reading),,Long-sleeve,Relaxed,Mandarin / band collar,"Worn photo shows relaxed drape; sleeves are full-length, sits comfortably on athletic frame without excess bulk",Worn photo (Img 92),Cotton or cotton-linen blend (visible smooth weave with slight texture),Light-mid,No,High,Smooth weave,3,"minimal, clean, designer-dev, coastal, artisan","office (casual), date night (casual), restaurant, brunch, beach/Goa",Base,"Summer, monsoon, all-season warm",36,Good,Regular,Cool/neutral,Bright white pops well against light brown skin — strong contrast,No,High,4,Both (clean mandarin collar elevates; solid white is versatile),Low-medium,,,,
TOP-24,WhatsApp Image 2026-05-18 at 12.16.28 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.16.29 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.29 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.30 AM (1).jpeg,Img 97 (worn close-up) | Img 99 (worn full-length) | Img 100 (worn full-length alt angle) | Img 101 (worn close-up detail),Shirt,Printed mandarin-collar long-sleeve shirt with chest pocket,Unidentified,Cream / off-white,Olive / dark green (print),Abstract serpentine/squiggly pattern (organic dotted swirl motifs across entire garment),Relaxed (worn reading),,Long-sleeve (worn rolled to 3/4),Relaxed,Mandarin / band collar,Worn photos show relaxed drape through torso; sleeves rolled to 3/4 length. Sits comfortably on athletic frame. Hem sits at hip level.,"Worn photo (Img 97, 99, 100, 101) - ground truth",Cotton or cotton-linen blend (visible texture consistent with block-print cotton),Light-mid,No,High,Textured / block-print surface,3,"artisan, designer-dev, maximalist, bold, Goa/hippie, editorial","date night (casual), restaurant, party, brunch, office (creative/casual), beach/Goa",Base,"Summer, monsoon, all-season warm",36,Good,Regular,Warm (cream base + warm olive-green print),Olive-green accents harmonize with warm Indian skin; cream base carries slight wash-out risk but olive pattern provides visual interest and breaks monotony,No,Medium,3,Star (bold all-over print carries outfit identity),Medium-high (dense all-over pattern adds visual weight),,,,
TOP-25,WhatsApp Image 2026-05-18 at 12.16.30 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.31 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.31 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.16.33 AM.jpeg,Img 102 (worn full-length) | Img 103 (worn close-up) | Img 104 (worn close-up alt) | Img 108 (flat lay),Shirt,Printed short-sleeve button-up shirt with contrast collar/cuff trim,Unidentified,Charcoal / dark grey,"Cream/off-white (print), yellow/gold (collar and cuff trim)",Large-scale quatrefoil/clover repeat pattern (cream motifs on charcoal base),Relaxed / slightly boxy (worn reading),,Short-sleeve,Relaxed / slightly boxy,Mandarin / band collar with yellow/gold contrast piping,Worn photos show relaxed boxy fit through torso; shirt sits at hip level. The quatrefoil pattern is large-scale and bold. Yellow trim at collar and cuffs adds a pop of color.,Worn photo (Img 102-104) + flat lay (Img 108) - ground truth,Cotton or cotton-viscose blend (smooth print surface suggests screen-print or block-print on cotton),Light-mid,No,Medium-high,Smooth (printed cotton),2-3,"maximalist, bold, artisan, designer-dev, retro, Goa/hippie","party, date night (casual), boys night, brunch, restaurant (casual), beach/Goa",Base,"Summer, monsoon, all-season warm",36,Good,Regular,Neutral (charcoal base) with warm accent (yellow trim),Excellent — charcoal base provides strong contrast against warm Indian skin; cream quatrefoil motifs add visual interest; yellow trim at collar frames the face with a warm pop,No,High,3,Star (bold print + contrast trim makes this a statement piece),High (large-scale pattern + yellow trim add significant visual weight),,,,
TOP-26,WhatsApp Image 2026-05-18 at 12.16.35 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.36 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.37 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.38 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.39 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.39 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.40 AM (1).jpeg,Img 110 (worn full-length) | Img 111 (worn close-up) | Img 112 (worn buttoned close-up) | Img 113 (worn buttoned wider) | Img 114 (flat lay) | Img 115 (worn open over tee) | Img 116 (flat lay alt angle),Shirt,Heavyweight overshirt / shacket with dual chest pockets,Unidentified,Light grey / stone,—,Solid,Relaxed / oversized (worn reading),,Long-sleeve,Boxy / oversized,Spread collar (point collar),Worn photos show oversized boxy fit; worn open as an outer layer over a white tee. Heavyweight fabric holds its shape. Sits below the hip.,Worn photo (Img 110-111) - ground truth,Heavyweight cotton twill or denim-weight cotton (visible structured weave; fabric holds shape without draping),Heavy,No,Low-medium,Smooth twill weave,3,"workwear, rugged, minimal, designer-dev, Scandi, clean","office (casual), date night (casual), brunch, restaurant, travel day, casual hangout",Outer (worn open over tee or base layer),"Monsoon, winter (Bangalore-calibrated); cooler evenings; travel to cooler climates",25,Good,Regular,Cool/neutral,Good — light grey is a versatile neutral that provides clean contrast against warm Indian skin without competing,No,Medium,4,Both (star as a layering focal point; supporting when paired with bold bottoms),High (heavyweight fabric + oversized silhouette + dual pockets add significant visual weight),,,,
SHO-04,WhatsApp Image 2026-05-18 at 12.17.10 AM (1).jpeg,Img 121 (flat top-down),Shoes,Low-top sneakers,Nike (Air Force 1),Black (all-black),—,Solid,,,,Low-top,,"Classic AF1 silhouette — chunky sole, leather upper, perforated toe box. All-black colorway reads sleek and versatile.",Flat lay (Img 121),Full-grain leather upper,Mid-heavy,No,Low (leather),Smooth leather with perforated toe box,2-3,"street, cosmopolitan, minimal, clean, designer-dev","casual hangout, boys night, date night (casual), party, office (casual), concert",,All-season,32,Worn (visible creasing on leather; some wear on sole edges — well-used but structurally sound),Regular,Neutral,Excellent — all-black is a universally flattering anchor; provides strong contrast against light brown skin from the ground up,No,High,5,Supporting (versatile baseline shoe that grounds any outfit),Medium (chunky AF1 sole adds some visual weight),Low-top leather sneaker,Chunky rubber (Air unit),"Street, casual, smart-casual, cosmopolitan","Works with virtually everything — jeans, chinos, wide-leg trousers, shorts. The all-black reads dressier than white sneakers."
SHO-05,WhatsApp Image 2026-05-18 at 12.17.10 AM.jpeg,Img 122 (flat top-down),Shoes,Slide sandals (dual-buckle),Unidentified (Birkenstock Arizona style — embossed markings on footbed may confirm brand upon physical inspection),Black (all-black),—,Solid,,,,Open-toe slide,,Classic dual-buckle slide sandal with molded contoured footbed. Two wide adjustable straps across the forefoot. All-black colorway reads clean and minimal.,Flat lay (Img 122),Synthetic or leather upper straps; EVA or rubber molded footbed and sole,Light,No,"High (open-toe, open-back)",Smooth straps with matte finish; textured footbed,1-2,"minimal, clean, coastal, casual, Goa/hippie, street","casual hangout, beach/Goa, brunch, home, travel day, boys night (casual)",,"Summer, monsoon, all-season warm",Any (open footwear),Good (appears lightly worn; footbed shows some use but straps and sole are in good shape),Regular (warm weather),Neutral,Good — all-black is universally neutral; does not compete with skin tone from ground level,No,High (against lighter skin at ankle/foot),4,Supporting (casual anchor that grounds warm-weather outfits),Low (minimal footwear),Dual-buckle slide sandal,Flat molded (contoured footbed),"Casual, coastal, minimal, resort, street","Works with shorts, linen trousers, casual wide-leg pants. Not suitable for office or formal occasions. Pairs naturally with the relaxed/coastal pieces in the wardrobe (TOP-06, TOP-10, TOP-20, TOP-22)."
