Image Number,Image Filename,Description,Image Type,Mapped Item ID(s),Notes
Img 112,WhatsApp Image 2026-05-18 at 12.16.37 AM (1).jpeg,Worn close-up torso — light grey/stone heavyweight overshirt (TOP-26) worn buttoned; dual chest pockets and dark buttons visible; black trousers below,Worn photo,TOP-26,Additional worn angle of TOP-26 — buttoned view showing fabric weight and pocket construction
Img 113,WhatsApp Image 2026-05-18 at 12.16.38 AM (1).jpeg,"Worn torso — same grey overshirt (TOP-26) worn buttoned, wider frame showing full front with spread collar and dual chest pockets; black trousers below",Worn photo,TOP-26,Additional worn angle of TOP-26 — slightly wider framing than Img 112
Img 114,WhatsApp Image 2026-05-18 at 12.16.39 AM (1).jpeg,Flat lay on floral bedspread — grey overshirt (TOP-26) laid flat; dual chest pockets and dark buttons visible; small black brand label/tag visible at hem,Flat lay,TOP-26,First flat lay for TOP-26; small black woven label visible at lower hem — may aid brand identification
Img 115,WhatsApp Image 2026-05-18 at 12.16.39 AM.jpeg,Worn torso — grey overshirt (TOP-26) worn OPEN over white crew-neck tee (TOP-01); black trousers visible at waist,Worn photo,"TOP-26, TOP-01",Shows TOP-26 as a layering piece worn open — same styling as Img 110 but closer framing
Img 116,WhatsApp Image 2026-05-18 at 12.16.40 AM (1).jpeg,"Flat lay on floral bedspread — grey overshirt (TOP-26) laid flat, different orientation from Img 114; small black brand tag visible at hem",Flat lay,TOP-26,Second flat lay angle for TOP-26; confirms construction details
Img 117,WhatsApp Image 2026-05-18 at 12.16.41 AM.jpeg,Full-body mirror selfie — light grey/taupe short-sleeve crew-neck knit sweater (TOP-15) worn with black wide-leg trousers; barefoot,Worn photo,BOT-10,First FULL-LENGTH worn photo for TOP-15 (previous Img 47 was front view only). Confirms knit texture and relaxed fit on athletic frame. Black trousers consistent with BOT-10. | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-15
Img 118,WhatsApp Image 2026-05-18 at 12.16.42 AM.jpeg,Full-body mirror selfie — same grey knit sweater (TOP-15) with black wide-leg trousers; slightly different angle/distance from Img 117,Worn photo,BOT-10,Additional worn angle for TOP-15; shows how the knit fabric drapes and how sleeves sit at mid-bicep | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-15
Img 119,WhatsApp Image 2026-05-18 at 12.17.08 AM (1).jpeg,Flat lay top-down — white and olive/khaki Comet brand low-top sneakers on marble floor; Comet branding visible on tongue and insole,Flat lay,SHO-02,Additional angle of SHO-02 from top-down (previous Img 52 was back view only). Shows white leather toe box with olive/khaki mudguard and green collar lining.
Img 120,WhatsApp Image 2026-05-18 at 12.17.09 AM (1).jpeg,Flat lay top-down — same white/olive Comet sneakers (SHO-02) from slightly further away on marble floor,Flat lay,SHO-02,Additional top-down angle of SHO-02
Img 121,WhatsApp Image 2026-05-18 at 12.17.10 AM (1).jpeg,Flat lay top-down — all-black Nike Air Force 1 low-top sneakers on marble floor; AF1 lace tag and NIKE AIR tongue branding visible,Flat lay,SHO-04,NEW ITEM — all-black Nike AF1 low-tops. First and only photo.
Img 122,WhatsApp Image 2026-05-18 at 12.17.10 AM.jpeg,Flat lay top-down — black dual-buckle slide sandals (Birkenstock Arizona style) on marble floor; two adjustable buckle straps visible; molded footbed; person's bare foot visible at top-right edge,Flat lay,SHO-05,NEW ITEM — black slide sandals. Only one photo available (top-down). Birkenstock-style but brand not fully confirmed from photo — small embossed markings on footbed may be legible upon physical inspection.
